LLM_MODEL,LANG,TASK_ID,SNIPPET_ID,SAMPLE_ID,EXECUTION_PLUS_BINARY,EXECUTION_PLUS_RATIO,V-Score,V-Score w/o r
Qwen3-Next-80B,python,76,154,2,0.0,0.9151047409040793,,3.0
Qwen3-Next-80B,python,76,188,2,0.0,0.7805953693495039,,4.0
Qwen3-Next-80B,python,76,173,2,0.0,0.0,,4.0
Qwen3-Next-80B,python,129,175,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,129,29,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,129,6,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,129,73,2,0.0,0.0,,3.0
Qwen3-Next-80B,python,129,63,2,0.0,0.0,,3.0
Qwen3-Next-80B,python,129,58,2,0.0,0.05527638190954774,,3.0
Qwen3-Next-80B,python,129,36,2,0.0,0.0,,4.0
Qwen3-Next-80B,python,129,26,2,0.0,0.0,,4.0
Qwen3-Next-80B,python,129,186,2,0.0,0.0,,3.0
Qwen3-Next-80B,python,129,148,2,0.0,0.05527638190954774,,3.0
Qwen3-Next-80B,python,129,22,2,0.0,0.0,,3.0
Qwen3-Next-80B,python,129,162,2,0.0,0.07035175879396985,,0.0
Qwen3-Next-80B,python,129,116,2,0.0,0.0,,1.0
Qwen3-Next-80B,python,129,8,2,0.0,0.05527638190954774,,0.0
Qwen3-Next-80B,python,129,7,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,129,23,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,129,56,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,129,60,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,129,138,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,129,165,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,26,30,2,0.0,0.016184971098265895,,0.0
Qwen3-Next-80B,python,26,6,2,0.0,0.028901734104046242,,0.0
Qwen3-Next-80B,python,26,84,2,0.0,0.028901734104046242,,0.0
Qwen3-Next-80B,python,26,70,2,0.0,0.028901734104046242,,0.0
Qwen3-Next-80B,python,26,64,2,0.0,0.028901734104046242,,0.0
Qwen3-Next-80B,python,26,39,2,0.0,0.028901734104046242,,0.0
Qwen3-Next-80B,python,26,28,2,0.0,0.015028901734104046,,0.0
Qwen3-Next-80B,python,26,174,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,26,24,2,0.0,0.1260115606936416,,0.0
Qwen3-Next-80B,python,26,187,2,0.0,0.2971098265895954,,0.0
Qwen3-Next-80B,python,26,134,2,0.0,0.2971098265895954,,0.0
Qwen3-Next-80B,python,26,8,2,0.0,0.011560693641618497,,0.0
Qwen3-Next-80B,python,26,7,2,0.0,0.2971098265895954,,0.0
Qwen3-Next-80B,python,26,25,2,0.0,0.2971098265895954,,0.0
Qwen3-Next-80B,python,26,62,2,0.0,0.2971098265895954,,2.0
Qwen3-Next-80B,python,26,66,2,0.0,0.2971098265895954,,0.0
Qwen3-Next-80B,python,26,163,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,26,195,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,26,179,2,0.0,0.0,,3.0
Qwen3-Next-80B,python,26,57,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,113,164,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,113,28,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,113,6,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,113,190,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,113,70,2,1.0,1.0,,2.0
Qwen3-Next-80B,python,113,62,2,1.0,1.0,,3.0
Qwen3-Next-80B,python,113,57,2,0.0,0.0010141987829614604,,0.0
Qwen3-Next-80B,python,113,35,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,113,189,2,0.0,0.0,,-1.0
Qwen3-Next-80B,python,113,26,2,0.0,0.0,,3.0
Qwen3-Next-80B,python,113,174,2,1.0,1.0,,-1.0
Qwen3-Next-80B,python,113,140,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,113,22,2,1.0,1.0,,3.0
Qwen3-Next-80B,python,113,152,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,113,109,2,0.0,0.9989858012170385,,0.0
Qwen3-Next-80B,python,113,8,2,0.0,0.0010141987829614604,,0.0
Qwen3-Next-80B,python,113,7,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,113,23,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,113,55,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,113,59,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,53,150,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,53,12,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,53,1,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,53,181,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,53,59,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,53,51,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,53,40,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,53,18,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,53,10,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,53,125,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,53,9,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,53,143,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,53,96,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,53,2,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,53,189,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,53,153,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,53,35,2,1.0,1.0,,4.0
Qwen3-Next-80B,python,53,164,2,0.0,0.0,,4.0
Qwen3-Next-80B,python,53,116,2,0.0,0.0,,4.0
Qwen3-Next-80B,python,53,192,2,1.0,1.0,,4.0
Qwen3-Next-80B,python,10,163,2,0.0,0.9452229299363057,,2.0
Qwen3-Next-80B,python,10,28,2,0.0,0.012738853503184714,,4.0
Qwen3-Next-80B,python,10,6,2,0.0,0.10191082802547771,,3.0
Qwen3-Next-80B,python,10,189,2,0.0,0.03184713375796178,,3.0
Qwen3-Next-80B,python,10,70,2,0.0,0.06751592356687898,,2.0
Qwen3-Next-80B,python,10,62,2,0.0,0.07133757961783439,,0.0
Qwen3-Next-80B,python,10,57,2,0.0,0.06751592356687898,,4.0
Qwen3-Next-80B,python,10,35,2,0.0,0.0,,3.0
Qwen3-Next-80B,python,10,188,2,0.0,0.5121019108280255,,3.0
Qwen3-Next-80B,python,10,26,2,0.0,0.0025477707006369425,,2.0
Qwen3-Next-80B,python,10,173,2,0.0,0.0025477707006369425,,3.0
Qwen3-Next-80B,python,10,139,2,0.0,0.0,,3.0
Qwen3-Next-80B,python,10,22,2,0.0,0.045859872611464965,,0.0
Qwen3-Next-80B,python,10,151,2,0.0,0.06751592356687898,,4.0
Qwen3-Next-80B,python,10,108,2,0.0,0.0025477707006369425,,3.0
Qwen3-Next-80B,python,10,8,2,0.0,0.07133757961783439,,3.0
Qwen3-Next-80B,python,10,7,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,10,23,2,0.0,0.0025477707006369425,,0.0
Qwen3-Next-80B,python,10,55,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,10,59,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,151,196,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,151,30,2,0.0,0.30119284294234594,,0.0
Qwen3-Next-80B,python,151,7,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,151,80,2,0.0,0.21968190854870775,,0.0
Qwen3-Next-80B,python,151,72,2,0.0,0.9980119284294234,,0.0
Qwen3-Next-80B,python,151,66,2,0.0,0.05268389662027833,,0.0
Qwen3-Next-80B,python,151,38,2,0.0,0.0268389662027833,,0.0
Qwen3-Next-80B,python,151,28,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,151,164,2,0.0,0.02485089463220676,,0.0
Qwen3-Next-80B,python,151,24,2,0.0,0.06560636182902585,,3.0
Qwen3-Next-80B,python,151,180,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,151,127,2,0.0,0.0019880715705765406,,0.0
Qwen3-Next-80B,python,151,9,2,0.0,0.06560636182902585,,0.0
Qwen3-Next-80B,python,151,8,2,0.0,0.30119284294234594,,0.0
Qwen3-Next-80B,python,151,25,2,0.0,0.9980119284294234,,0.0
Qwen3-Next-80B,python,151,63,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,151,69,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,151,150,2,0.0,0.20377733598409542,,2.0
Qwen3-Next-80B,python,151,183,2,0.0,0.06560636182902585,,0.0
Qwen3-Next-80B,python,151,170,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,161,173,2,0.0,0.044399596367305755,,0.0
Qwen3-Next-80B,python,161,29,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,161,6,2,0.0,0.3632694248234107,,0.0
Qwen3-Next-80B,python,161,72,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,161,64,2,0.0,0.9727547931382442,,0.0
Qwen3-Next-80B,python,161,59,2,0.0,0.7245206861755802,,0.0
Qwen3-Next-80B,python,161,36,2,0.0,0.0,,2.0
Qwen3-Next-80B,python,161,199,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,161,27,2,0.0,0.6589303733602422,,0.0
Qwen3-Next-80B,python,161,184,2,0.0,0.0,,2.0
Qwen3-Next-80B,python,161,148,2,0.0,0.3784056508577195,,0.0
Qwen3-Next-80B,python,161,23,2,0.0,0.40968718466195764,,2.0
Qwen3-Next-80B,python,161,160,2,0.0,0.06861755802219979,,0.0
Qwen3-Next-80B,python,161,114,2,0.0,0.055499495459132187,,3.0
Qwen3-Next-80B,python,161,8,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,161,7,2,0.0,0.055499495459132187,,0.0
Qwen3-Next-80B,python,161,24,2,0.0,0.9727547931382442,,0.0
Qwen3-Next-80B,python,161,57,2,0.0,0.3784056508577195,,0.0
Qwen3-Next-80B,python,161,61,2,0.0,0.3784056508577195,,0.0
Qwen3-Next-80B,python,161,136,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,104,174,2,0.0,0.7008973080757727,,0.0
Qwen3-Next-80B,python,104,28,2,0.0,0.0,,2.0
Qwen3-Next-80B,python,104,6,2,0.0,0.0,,2.0
Qwen3-Next-80B,python,104,72,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,104,64,2,0.0,0.0,,-1.0
Qwen3-Next-80B,python,104,59,2,0.0,0.7008973080757727,,2.0
Qwen3-Next-80B,python,104,36,2,0.0,0.7008973080757727,,0.0
Qwen3-Next-80B,python,104,26,2,1.0,1.0,,2.0
Qwen3-Next-80B,python,104,185,2,1.0,1.0,,2.0
Qwen3-Next-80B,python,104,148,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,104,22,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,104,161,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,104,115,2,0.0,0.20039880358923232,,0.0
Qwen3-Next-80B,python,104,8,2,0.0,0.20039880358923232,,3.0
Qwen3-Next-80B,python,104,7,2,0.0,0.0009970089730807576,,2.0
Qwen3-Next-80B,python,104,23,2,1.0,1.0,,2.0
Qwen3-Next-80B,python,104,57,2,0.0,0.4885343968095713,,0.0
Qwen3-Next-80B,python,104,61,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,104,138,2,0.0,0.1226321036889332,,0.0
Qwen3-Next-80B,python,104,164,2,0.0,0.4885343968095713,,0.0
Qwen3-Next-80B,python,111,165,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,111,28,2,0.0,0.473604826546003,,0.0
Qwen3-Next-80B,python,111,6,2,0.0,0.9336349924585219,,0.0
Qwen3-Next-80B,python,111,191,2,0.0,0.4766214177978884,,0.0
Qwen3-Next-80B,python,111,70,2,0.0,0.9366515837104072,,0.0
Qwen3-Next-80B,python,111,62,2,0.0,0.9336349924585219,,0.0
Qwen3-Next-80B,python,111,57,2,0.0,0.9366515837104072,,0.0
Qwen3-Next-80B,python,111,35,2,0.0,0.11161387631975868,,0.0
Qwen3-Next-80B,python,111,190,2,0.0,0.9336349924585219,,0.0
Qwen3-Next-80B,python,111,26,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,111,175,2,0.0,0.11161387631975868,,0.0
Qwen3-Next-80B,python,111,140,2,0.0,0.9366515837104072,,0.0
Qwen3-Next-80B,python,111,22,2,0.0,0.473604826546003,,0.0
Qwen3-Next-80B,python,111,153,2,0.0,0.9366515837104072,,0.0
Qwen3-Next-80B,python,111,108,2,0.0,0.9366515837104072,,0.0
Qwen3-Next-80B,python,111,8,2,0.0,0.11161387631975868,,0.0
Qwen3-Next-80B,python,111,7,2,0.0,0.9336349924585219,,0.0
Qwen3-Next-80B,python,111,23,2,0.0,0.4766214177978884,,0.0
Qwen3-Next-80B,python,111,55,2,0.0,0.07541478129713423,,0.0
Qwen3-Next-80B,python,111,59,2,0.0,0.11161387631975868,,0.0
Qwen3-Next-80B,python,7,34,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,7,2,2,1.0,1.0,,-1.0
Qwen3-Next-80B,python,7,120,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,7,37,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,7,35,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,7,195,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,7,17,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,7,190,2,0.0,0.17032967032967034,,0.0
Qwen3-Next-80B,python,7,12,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,7,112,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,7,173,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,7,93,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,7,11,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,7,100,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,7,66,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,7,4,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,7,192,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,7,139,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,7,33,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,7,183,2,1.0,1.0,,0.0
