LLM_MODEL,LANG,TASK_ID,SNIPPET_ID,SAMPLE_ID,EXECUTION_PLUS_BINARY,EXECUTION_PLUS_RATIO,BLEU,ROUGE-L,METEOR,chrF,CodeBLEU,RUBY,CBS_F1,CBS_F3,ICE-Score,ICE-Score w/o r,CJ-BIN,CJ-BIN w/o r,CJ-Score,CJ-Score w/o r,V-BIN,V-BIN w/o r,V-Score,V-Score w/o r
Qwen3-Next-80B,cpp,99,57,0,0.0,0.7969187675070029,0.042899165700759294,0.2711864406779661,0.41712555066079293,0.3104184377994524,0.5257142857142857,0.1578947368421053,0.7900014519691467,0.8025543689727783,2.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0
Qwen3-Next-80B,cpp,99,57,1,0.0,0.7969187675070029,0.042899165700759294,0.2711864406779661,0.41712555066079293,0.3104184377994524,0.5257142857142857,0.1578947368421053,0.7900014519691467,0.8025543689727783,2.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0
Qwen3-Next-80B,cpp,99,57,2,0.0,0.7969187675070029,0.042899165700759294,0.2711864406779661,0.41712555066079293,0.3104184377994524,0.5257142857142857,0.1578947368421053,0.7900014519691467,0.8025543689727783,2.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0
Qwen3-Next-80B,cpp,99,35,0,0.0,0.0,0.025334795699203178,0.22500000000000003,0.297519041218638,0.2747734776856757,0.47428571428571425,0.10169491525423724,0.7159887552261353,0.7539757490158081,2.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0
Qwen3-Next-80B,cpp,99,35,1,0.0,0.0,0.025334795699203178,0.22500000000000003,0.297519041218638,0.2747734776856757,0.47428571428571425,0.10169491525423724,0.7159887552261353,0.7539757490158081,2.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0
Qwen3-Next-80B,cpp,99,35,2,0.0,0.0,0.025334795699203178,0.22500000000000003,0.297519041218638,0.2747734776856757,0.47428571428571425,0.10169491525423724,0.7159887552261353,0.7539757490158081,2.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0
Qwen3-Next-80B,cpp,99,189,0,0.0,0.2703081232492997,0.05879832752933829,0.35135135135135137,0.39635688986338335,0.2636044961462024,0.6152380952380951,0.2264150943396226,0.7547702789306641,0.782107412815094,2.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,2.0,1.0
Qwen3-Next-80B,cpp,99,189,1,0.0,0.2703081232492997,0.05879832752933829,0.35135135135135137,0.39635688986338335,0.2636044961462024,0.6152380952380951,0.2264150943396226,0.7547702789306641,0.782107412815094,2.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,2.0,1.0
Qwen3-Next-80B,cpp,99,189,2,0.0,0.2703081232492997,0.05879832752933829,0.35135135135135137,0.39635688986338335,0.2636044961462024,0.6152380952380951,0.2264150943396226,0.7547702789306641,0.782107412815094,2.0,2.0,0.0,0.0,0.45,0.45,0.0,0.0,2.0,0.0
Qwen3-Next-80B,cpp,99,26,0,0.0,0.7156862745098039,0.08282282660969603,0.3111111111111111,0.2497799295774648,0.25210822012724354,0.37809523809523804,0.04166666666666663,0.7961860299110413,0.8113126158714294,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,1.0,1.0
Qwen3-Next-80B,cpp,99,26,1,0.0,0.7156862745098039,0.08282282660969603,0.3111111111111111,0.2497799295774648,0.25210822012724354,0.37809523809523804,0.04166666666666663,0.7961860299110413,0.8113126158714294,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,1.0,0.0
Qwen3-Next-80B,cpp,99,26,2,0.0,0.7156862745098039,0.08282282660969603,0.3111111111111111,0.2497799295774648,0.25210822012724354,0.37809523809523804,0.04166666666666663,0.7961860299110413,0.8113126158714294,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,1.0,1.0
Qwen3-Next-80B,cpp,99,174,0,0.0,0.7156862745098039,0.06085001459780849,0.30952380952380953,0.420817136378361,0.27193541359729867,0.6152380952380951,0.2063492063492064,0.744921088218689,0.7619832754135132,2.0,2.0,0.0,0.0,0.5,0.45,0.0,0.0,1.0,1.0
Qwen3-Next-80B,cpp,99,174,1,0.0,0.7156862745098039,0.06085001459780849,0.30952380952380953,0.420817136378361,0.27193541359729867,0.6152380952380951,0.2063492063492064,0.744921088218689,0.7619832754135132,2.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0
Qwen3-Next-80B,cpp,99,174,2,0.0,0.7156862745098039,0.06085001459780849,0.30952380952380953,0.420817136378361,0.27193541359729867,0.6152380952380951,0.2063492063492064,0.744921088218689,0.7619832754135132,2.0,2.0,0.0,0.0,0.5,0.45,0.0,0.0,1.0,1.0
Qwen3-Next-80B,cpp,99,139,0,0.0,0.8361344537815126,0.04266060687644715,0.3448275862068966,0.42441755463247244,0.32089222878813656,0.5323809523809523,0.18918918918918914,0.7874415516853333,0.8179771900177002,2.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,2.0,2.0
Qwen3-Next-80B,cpp,99,139,1,0.0,0.8361344537815126,0.04266060687644715,0.3448275862068966,0.42441755463247244,0.32089222878813656,0.5323809523809523,0.18918918918918914,0.7874415516853333,0.8179771900177002,2.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,2.0,2.0
Qwen3-Next-80B,cpp,99,139,2,0.0,0.8361344537815126,0.04266060687644715,0.3448275862068966,0.42441755463247244,0.32089222878813656,0.5323809523809523,0.18918918918918914,0.7874415516853333,0.8179771900177002,2.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,2.0,2.0
Qwen3-Next-80B,cpp,99,22,0,0.0,0.8375350140056023,0.030939009100184954,0.2894736842105263,0.3073770491803278,0.2831963050762909,0.5771428571428571,0.18181818181818177,0.7545332908630371,0.7741050124168396,3.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,2.0,2.0
Qwen3-Next-80B,cpp,99,22,1,0.0,0.8375350140056023,0.030939009100184954,0.2894736842105263,0.3073770491803278,0.2831963050762909,0.5771428571428571,0.18181818181818177,0.7545332908630371,0.7741050124168396,3.0,2.0,0.0,0.0,0.5,0.45,0.0,0.0,2.0,2.0
Qwen3-Next-80B,cpp,99,22,2,0.0,0.8375350140056023,0.030939009100184954,0.2894736842105263,0.3073770491803278,0.2831963050762909,0.5771428571428571,0.18181818181818177,0.7545332908630371,0.7741050124168396,3.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,2.0,2.0
Qwen3-Next-80B,cpp,99,151,0,1.0,1.0,0.08635800047213177,0.4230769230769231,0.4820269016697588,0.3592652702660332,0.539047619047619,0.25806451612903225,0.7908483743667603,0.8134921193122864,4.0,4.0,1.0,0.0,0.5,0.5,1.0,1.0,4.0,4.0
Qwen3-Next-80B,cpp,99,151,1,1.0,1.0,0.08635800047213177,0.4230769230769231,0.4820269016697588,0.3592652702660332,0.539047619047619,0.25806451612903225,0.7908483743667603,0.8134921193122864,4.0,4.0,1.0,0.0,0.5,0.5,1.0,1.0,4.0,4.0
Qwen3-Next-80B,cpp,99,151,2,1.0,1.0,0.08635800047213177,0.4230769230769231,0.4820269016697588,0.3592652702660332,0.539047619047619,0.25806451612903225,0.7908483743667603,0.8134921193122864,4.0,4.0,1.0,0.0,0.5,0.5,1.0,0.0,4.0,4.0
Qwen3-Next-80B,cpp,99,108,0,0.0,0.12324929971988796,0.008826252223033048,0.13043478260869565,0.18844221105527642,0.1612427343824786,0.6409523809523809,0.0717703349282297,0.6207422614097595,0.6753745079040527,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,99,108,1,0.0,0.12324929971988796,0.008826252223033048,0.13043478260869565,0.18844221105527642,0.1612427343824786,0.6409523809523809,0.0717703349282297,0.6207422614097595,0.6753745079040527,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,99,108,2,0.0,0.12324929971988796,0.008826252223033048,0.13043478260869565,0.18844221105527642,0.1612427343824786,0.6409523809523809,0.0717703349282297,0.6207422614097595,0.6753745079040527,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,99,8,0,0.0,0.7198879551820728,0.04493782585073885,0.14492753623188404,0.3407407407407408,0.19759092138515968,0.6279801139880576,0.08064516129032262,0.6543387770652771,0.7289907932281494,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,99,8,1,0.0,0.7198879551820728,0.04493782585073885,0.14492753623188404,0.3407407407407408,0.19759092138515968,0.6279801139880576,0.08064516129032262,0.6543387770652771,0.7289907932281494,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,99,8,2,0.0,0.7198879551820728,0.04493782585073885,0.14492753623188404,0.3407407407407408,0.19759092138515968,0.6279801139880576,0.08064516129032262,0.6543387770652771,0.7289907932281494,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,99,7,0,0.0,0.5224089635854342,0.021338602710278872,0.1774193548387097,0.23519755462470282,0.16917417831030448,0.4619047619047618,0.09708737864077666,0.7345315217971802,0.7374880909919739,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,99,7,1,0.0,0.5224089635854342,0.021338602710278872,0.1774193548387097,0.23519755462470282,0.16917417831030448,0.4619047619047618,0.09708737864077666,0.7345315217971802,0.7374880909919739,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,99,7,2,0.0,0.5224089635854342,0.021338602710278872,0.1774193548387097,0.23519755462470282,0.16917417831030448,0.4619047619047618,0.09708737864077666,0.7345315217971802,0.7374880909919739,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,99,23,0,0.0,0.8375350140056023,0.19999595980000806,0.38356164383561636,0.4415197095435685,0.4554104305732175,0.7058688248455083,0.21153846153846156,0.8070722818374634,0.8652418255805969,3.0,3.0,1.0,0.0,0.5,0.5,0.0,0.0,3.0,3.0
Qwen3-Next-80B,cpp,99,23,1,0.0,0.8375350140056023,0.19999595980000806,0.38356164383561636,0.4415197095435685,0.4554104305732175,0.7058688248455083,0.21153846153846156,0.8070722818374634,0.8652418255805969,4.0,3.0,1.0,0.0,0.5,0.5,0.0,0.0,3.0,3.0
Qwen3-Next-80B,cpp,99,23,2,0.0,0.8375350140056023,0.19999595980000806,0.38356164383561636,0.4415197095435685,0.4554104305732175,0.7058688248455083,0.21153846153846156,0.8070722818374634,0.8652418255805969,3.0,3.0,1.0,0.0,0.5,0.5,0.0,0.0,3.0,3.0
Qwen3-Next-80B,cpp,99,55,0,1.0,1.0,0.03932900688893963,0.29629629629629634,0.38521432669453326,0.2908104319514413,0.5323809523809523,0.16666666666666663,0.7748416066169739,0.8082321286201477,4.0,4.0,1.0,1.0,0.5,0.5,0.0,0.0,3.0,3.0
Qwen3-Next-80B,cpp,99,55,1,1.0,1.0,0.03932900688893963,0.29629629629629634,0.38521432669453326,0.2908104319514413,0.5323809523809523,0.16666666666666663,0.7748416066169739,0.8082321286201477,4.0,4.0,1.0,0.0,0.5,0.5,0.0,0.0,3.0,3.0
Qwen3-Next-80B,cpp,99,55,2,1.0,1.0,0.03932900688893963,0.29629629629629634,0.38521432669453326,0.2908104319514413,0.5323809523809523,0.16666666666666663,0.7748416066169739,0.8082321286201477,4.0,4.0,1.0,1.0,0.5,0.5,0.0,0.0,3.0,3.0
Qwen3-Next-80B,cpp,99,59,0,0.0,0.2857142857142857,0.03784649355444829,0.2950819672131147,0.26200873362445415,0.2667750922441053,0.5257142857142857,0.17500000000000004,0.7584708333015442,0.7878796458244324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,99,59,1,0.0,0.2857142857142857,0.03784649355444829,0.2950819672131147,0.26200873362445415,0.2667750922441053,0.5257142857142857,0.17500000000000004,0.7584708333015442,0.7878796458244324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,99,59,2,0.0,0.2857142857142857,0.03784649355444829,0.2950819672131147,0.26200873362445415,0.2667750922441053,0.5257142857142857,0.17500000000000004,0.7584708333015442,0.7878796458244324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,140,165,0,0.0,0.49302788844621515,0.2754716465626642,0.4772727272727273,0.35563586229946526,0.2794213561858772,0.43457543187340847,0.27922077922077926,0.7873784899711609,0.7527413964271545,0.0,2.0,0.0,0.0,0.45,0.5,0.0,0.0,1.0,1.0
Qwen3-Next-80B,cpp,140,165,1,0.0,0.49302788844621515,0.2754716465626642,0.4772727272727273,0.35563586229946526,0.2794213561858772,0.43457543187340847,0.27922077922077926,0.7873784899711609,0.7527413964271545,2.0,2.0,0.0,0.0,0.45,0.5,0.0,0.0,1.0,1.0
Qwen3-Next-80B,cpp,140,165,2,0.0,0.49302788844621515,0.2754716465626642,0.4772727272727273,0.35563586229946526,0.2794213561858772,0.43457543187340847,0.27922077922077926,0.7873784899711609,0.7527413964271545,2.0,2.0,0.0,0.0,0.45,0.5,0.0,0.0,1.0,1.0
Qwen3-Next-80B,cpp,140,28,0,0.0,0.6115537848605578,0.1663907787998413,0.3573333333333333,0.36096885992501687,0.2655561868545323,0.5074925375267245,0.20814479638009054,0.7156674265861511,0.7366071343421936,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,140,28,1,0.0,0.6115537848605578,0.1663907787998413,0.3573333333333333,0.36096885992501687,0.2655561868545323,0.5074925375267245,0.20814479638009054,0.7156674265861511,0.7366071343421936,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,140,28,2,0.0,0.6115537848605578,0.1663907787998413,0.3573333333333333,0.36096885992501687,0.2655561868545323,0.5074925375267245,0.20814479638009054,0.7156674265861511,0.7366071343421936,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,140,6,0,0.0,0.46115537848605576,0.2830664176218993,0.5461847389558233,0.3670132154099666,0.29613235527876597,0.40286707745128236,0.3831168831168831,0.7988294959068298,0.7576786875724792,0.0,2.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0,2.0
Qwen3-Next-80B,cpp,140,6,1,0.0,0.46115537848605576,0.2830664176218993,0.5461847389558233,0.3670132154099666,0.29613235527876597,0.40286707745128236,0.3831168831168831,0.7988294959068298,0.7576786875724792,0.0,2.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0,2.0
Qwen3-Next-80B,cpp,140,6,2,0.0,0.46115537848605576,0.2830664176218993,0.5461847389558233,0.3670132154099666,0.29613235527876597,0.40286707745128236,0.3831168831168831,0.7988294959068298,0.7576786875724792,0.0,2.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0,2.0
Qwen3-Next-80B,cpp,140,191,0,0.0,0.499003984063745,0.2912264249434218,0.49253731343283574,0.34772687427912347,0.26028304957536524,0.44078078087076833,0.3311688311688312,0.7950944900512695,0.7640933394432068,3.0,3.0,0.0,0.0,0.5,0.5,0.0,0.0,3.0,2.0
Qwen3-Next-80B,cpp,140,191,1,0.0,0.499003984063745,0.2912264249434218,0.49253731343283574,0.34772687427912347,0.26028304957536524,0.44078078087076833,0.3311688311688312,0.7950944900512695,0.7640933394432068,3.0,3.0,0.0,0.0,0.5,0.45,0.0,0.0,3.0,2.0
Qwen3-Next-80B,cpp,140,191,2,0.0,0.499003984063745,0.2912264249434218,0.49253731343283574,0.34772687427912347,0.26028304957536524,0.44078078087076833,0.3311688311688312,0.7950944900512695,0.7640933394432068,3.0,3.0,0.0,0.0,0.5,0.5,0.0,0.0,3.0,2.0
Qwen3-Next-80B,cpp,140,70,0,0.0,0.0,0.0366702330813133,0.2943396226415094,0.1986672306550818,0.14195945346770156,0.30043690563742714,0.18831168831168832,0.6647571325302124,0.6582120656967163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,140,70,1,0.0,0.0,0.0366702330813133,0.2943396226415094,0.1986672306550818,0.14195945346770156,0.30043690563742714,0.18831168831168832,0.6647571325302124,0.6582120656967163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,140,70,2,0.0,0.0,0.0366702330813133,0.2943396226415094,0.1986672306550818,0.14195945346770156,0.30043690563742714,0.18831168831168832,0.6647571325302124,0.6582120656967163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,140,62,0,0.0,0.499003984063745,0.2928704404574039,0.4927536231884058,0.3853132641781212,0.2882741548185356,0.4919592768007254,0.27922077922077926,0.7920088171958923,0.7658315896987915,0.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,2.0
Qwen3-Next-80B,cpp,140,62,1,0.0,0.499003984063745,0.2928704404574039,0.4927536231884058,0.3853132641781212,0.2882741548185356,0.4919592768007254,0.27922077922077926,0.7920088171958923,0.7658315896987915,0.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,2.0
Qwen3-Next-80B,cpp,140,62,2,0.0,0.499003984063745,0.2928704404574039,0.4927536231884058,0.3853132641781212,0.2882741548185356,0.4919592768007254,0.27922077922077926,0.7920088171958923,0.7658315896987915,0.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,2.0
Qwen3-Next-80B,cpp,140,57,0,0.0,0.6115537848605578,0.27200486415745767,0.4551724137931034,0.41669452333249446,0.23297594972107194,0.47381930717331067,0.23376623376623373,0.7747009992599487,0.7327619791030884,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0,1.0
Qwen3-Next-80B,cpp,140,57,1,0.0,0.6115537848605578,0.27200486415745767,0.4551724137931034,0.41669452333249446,0.23297594972107194,0.47381930717331067,0.23376623376623373,0.7747009992599487,0.7327619791030884,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0,1.0
Qwen3-Next-80B,cpp,140,57,2,0.0,0.6115537848605578,0.27200486415745767,0.4551724137931034,0.41669452333249446,0.23297594972107194,0.47381930717331067,0.23376623376623373,0.7747009992599487,0.7327619791030884,0.0,2.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0,1.0
Qwen3-Next-80B,cpp,140,35,0,0.0,0.499003984063745,0.2735394418315181,0.4942084942084942,0.3409792085848423,0.26404413592271636,0.37723510732058074,0.35064935064935066,0.7982428073883057,0.756098210811615,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,140,35,1,0.0,0.499003984063745,0.2735394418315181,0.4942084942084942,0.3409792085848423,0.26404413592271636,0.37723510732058074,0.35064935064935066,0.7982428073883057,0.756098210811615,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,140,35,2,0.0,0.499003984063745,0.2735394418315181,0.4942084942084942,0.3409792085848423,0.26404413592271636,0.37723510732058074,0.35064935064935066,0.7982428073883057,0.756098210811615,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,140,190,0,0.0,0.0,0.3657161515628161,0.49504950495049505,0.43741275011633324,0.4260487414309285,0.5261427927580382,0.2532467532467533,0.8110314011573792,0.808014988899231,0.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,2.0
Qwen3-Next-80B,cpp,140,190,1,0.0,0.0,0.3657161515628161,0.49504950495049505,0.43741275011633324,0.4260487414309285,0.5261427927580382,0.2532467532467533,0.8110314011573792,0.808014988899231,0.0,3.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,2.0
Qwen3-Next-80B,cpp,140,190,2,0.0,0.0,0.3657161515628161,0.49504950495049505,0.43741275011633324,0.4260487414309285,0.5261427927580382,0.2532467532467533,0.8110314011573792,0.808014988899231,0.0,3.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,2.0
Qwen3-Next-80B,cpp,140,26,0,0.0,0.4641434262948207,0.29082496565993887,0.47928994082840237,0.41486024831153395,0.32477813325790467,0.5921611216851724,0.32608695652173914,0.7701100707054138,0.757159948348999,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,1.0,0.0
Qwen3-Next-80B,cpp,140,26,1,0.0,0.4641434262948207,0.29082496565993887,0.47928994082840237,0.41486024831153395,0.32477813325790467,0.5921611216851724,0.32608695652173914,0.7701100707054138,0.757159948348999,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,140,26,2,0.0,0.4641434262948207,0.29082496565993887,0.47928994082840237,0.41486024831153395,0.32477813325790467,0.5921611216851724,0.32608695652173914,0.7701100707054138,0.757159948348999,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,140,175,0,0.0,0.46115537848605576,0.1627177600031227,0.38427947598253276,0.2626101775412424,0.2076488914220823,0.2879515844802508,0.2012987012987013,0.7442585229873657,0.6877246499061584,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,140,175,1,0.0,0.46115537848605576,0.1627177600031227,0.38427947598253276,0.2626101775412424,0.2076488914220823,0.2879515844802508,0.2012987012987013,0.7442585229873657,0.6877246499061584,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,140,175,2,0.0,0.46115537848605576,0.1627177600031227,0.38427947598253276,0.2626101775412424,0.2076488914220823,0.2879515844802508,0.2012987012987013,0.7442585229873657,0.6877246499061584,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0,0.0
